draft_id,skeleton_arguments_id,case_doc_id,input_type,model_used,generated_at,citation_index,citation,citation_normalized,citation_type,pinpoint,principle,application,binding_authority,linked_source_case_count,source_case_ids,source_case_titles,source_case_citations,citation_used_for_matching,search_id,verification_status,citation_in_linked_retrieval,citation_in_corpus_registry,match_method,match_score,matched_retrieved_case_id,matched_retrieved_case_title,explicit_source_case_id,explicit_source_case_title,matched_corpus_case_id,matched_corpus_case_title,invalid_source_case_ids,citation_identifier_conflict,manual_review_required,review_reason
cmm0bebet000404jvmcxyqo4x,cmm0b5xup000504ibqdrxvam6,skeleton-args-ca2016009836-d5eefd60a70a11d6,synthetic,gpt-4o-mini,2026-02-24 07:59:25.251,1,[2002] EWCA Civ 605,2002 ewca civ 605,case_law,,Adequacy of reasons in judgments,Reasons must be provided for key determinations to ensure transparency and reasonableness in judicial reviews.,binding,0,,,,English v Emery Reimbold & Strick Ltd [2002] EWCA Civ 605,cmm0b91t5000e04ibf7gf6ujr,in_corpus_not_retrieved,no,yes,exact_case_name,1.0,,,,,f11564b3-860c-4adc-bd7a-d530ce37ea95,English v Emery Reimbold & Strick Ltd,,no,yes,The citation matches a corpus case but not the retrieval linked to this judgment.
cmm0ckscr000t04i312fc6edg,cmlzojkzd000204l5u8akkk6q,skeleton-args-ca2018006090-aa90566cb5f6b5de,synthetic,gpt-4o-mini,2026-02-24 08:32:26.762,1,Armitage v Nurse [1998] Ch 241,armitage v nurse 1998 ch 241,case_law,N/A,Establishes that a trustee must comply with fiduciary obligations.,Reiterates the need for independent transactions to avoid self-dealing.,binding,0,,,,Armitage v Nurse [1998] Ch 241,cmm0chr9w000n04i37bx1uiqp,not_found_in_corpus_registry,no,no,no_match,0.0,,,,,,,,no,yes,No standalone case-title or citation match was found in the linked retrieval or corpus registry.
cmm0ckscr000t04i312fc6edg,cmlzojkzd000204l5u8akkk6q,skeleton-args-ca2018006090-aa90566cb5f6b5de,synthetic,gpt-4o-mini,2026-02-24 08:32:26.762,2,Spread Trustee Co Ltd v Hutcheson [2011] UKPC 13,spread trustee co ltd v hutcheson 2011 ukpc 13,case_law,N/A,Reiterates the necessity of diligent investment by trustees.,Clarifies fiduciary duties and potential breaches based on performance metrics.,binding,0,,,,Spread Trustee Co Ltd v Hutcheson [2011] UKPC 13,cmm0chr9w000n04i37bx1uiqp,not_found_in_corpus_registry,no,no,no_match,0.0,,,,,,,,no,yes,No standalone case-title or citation match was found in the linked retrieval or corpus registry.
cmm0ct5sl001504i3x6g18pvd,cmlzojkzd000204l5u8akkk6q,skeleton-args-ca2018006090-aa90566cb5f6b5de,synthetic,gpt-4o-mini,2026-02-24 08:38:57.428,1,Armitage v Nurse [1998] Ch 241,armitage v nurse 1998 ch 241,case_law,,"Trustees must act in the best interest of beneficiaries, avoiding conflicts of interest.",Applicable to self-dealing cases and assessing trustee duties.,binding,0,,,,Armitage v Nurse [1998] Ch 241,cmm0cqleo000z04i321gtuvf1,not_found_in_corpus_registry,no,no,no_match,0.0,,,,,,,,no,yes,No standalone case-title or citation match was found in the linked retrieval or corpus registry.
cmm0ct5sl001504i3x6g18pvd,cmlzojkzd000204l5u8akkk6q,skeleton-args-ca2018006090-aa90566cb5f6b5de,synthetic,gpt-4o-mini,2026-02-24 08:38:57.428,2,Spread Trustee Co Ltd v Hutcheson [2011] UKPC 13,spread trustee co ltd v hutcheson 2011 ukpc 13,case_law,,Establishes clear guidelines regarding the duties and liabilities of trustees.,Relevant to understanding the breadth of fiduciary obligations.,binding,0,,,,Spread Trustee Co Ltd v Hutcheson [2011] UKPC 13,cmm0cqleo000z04i321gtuvf1,not_found_in_corpus_registry,no,no,no_match,0.0,,,,,,,,no,yes,No standalone case-title or citation match was found in the linked retrieval or corpus registry.
cmm0k3nj8000h04l412ruhfxj,cmlzy4fu700fk04i8kn66k5jp,skeleton-args-ca2024001234-346b2d683b5c2099,synthetic,gpt-4o-mini,2026-02-24 12:03:04.29,1,[2002] EWCA Civ 605,2002 ewca civ 605,case_law,,Adequacy of reasons in judgments,Judicial decisions should provide clear reasoning complying with statutory frameworks.,binding,0,,,,English v Emery Reimbold & Strick Ltd [2002] EWCA Civ 605,cmm0k0854000b04l440eijrw0,in_corpus_not_retrieved,no,yes,exact_case_name,1.0,,,,,f11564b3-860c-4adc-bd7a-d530ce37ea95,English v Emery Reimbold & Strick Ltd,,no,yes,The citation matches a corpus case but not the retrieval linked to this judgment.
cmm0k3nj8000h04l412ruhfxj,cmlzy4fu700fk04i8kn66k5jp,skeleton-args-ca2024001234-346b2d683b5c2099,synthetic,gpt-4o-mini,2026-02-24 12:03:04.29,2,[2000] 1 WLR 377,2000 1 wlr 377,case_law,,Duty to give reasons,Public authorities must articulate their rationale behind significant funding decisions.,persuasive,0,,,,Flannery v Halifax Estate Agencies Ltd [2000] 1 WLR 377,cmm0k0854000b04l440eijrw0,not_found_in_corpus_registry,no,no,no_match,0.0,,,,,,,,no,yes,No standalone case-title or citation match was found in the linked retrieval or corpus registry.
cmm3b1g6j000j04jt8w2u9z6w,cmm3awy72000404jtfbucs83q,skeleton-args-ca2025000412-e17d5e10793fe216,synthetic,gpt-4o-mini,2026-02-26 10:12:43.433,1,Flannery v Halifax Estate Agencies Ltd [2000] 1 WLR 377,flannery v halifax estate agencies ltd 2000 1 wlr 377,case_law,at 399,Duty to provide adequate reasons for decisions that may affect individual rights.,Relevant to ensuring justifications for educational restrictions are properly articulated based on rights impact.,binding,0,,,,Flannery v Halifax Estate Agencies Ltd [2000] 1 WLR 377,cmm3azb8t000d04jtx7he2awl,not_found_in_corpus_registry,no,no,no_match,0.0,,,,,,,,no,yes,No standalone case-title or citation match was found in the linked retrieval or corpus registry.
cmm3b1g6j000j04jt8w2u9z6w,cmm3awy72000404jtfbucs83q,skeleton-args-ca2025000412-e17d5e10793fe216,synthetic,gpt-4o-mini,2026-02-26 10:12:43.433,2,English v Emery Reimbold & Strick Ltd [2002] EWCA Civ 605,english v emery reimbold strick ltd 2002 ewca civ 605,case_law,at 611,Adequacy of reasons in judgments.,Relevant to the necessity for transparency in decisions affecting prisoner education in light of restrictive measures.,binding,0,,,,English v Emery Reimbold & Strick Ltd [2002] EWCA Civ 605,cmm3azb8t000d04jtx7he2awl,in_corpus_not_retrieved,no,yes,exact_case_name,1.0,,,,,f11564b3-860c-4adc-bd7a-d530ce37ea95,English v Emery Reimbold & Strick Ltd,,no,yes,The citation matches a corpus case but not the retrieval linked to this judgment.
cmm920v38000b04ib8ug7hazg,cmlzojkzd000204l5u8akkk6q,skeleton-args-ca2018006090-aa90566cb5f6b5de,synthetic,gpt-4o-mini,2026-03-02 10:46:56.609,1,Armitage v Nurse [1998] Ch 241,armitage v nurse 1998 ch 241,case_law,,There is a duty on trustees to act prudently and avoid conflicts of interest.,This principle is directly applicable to the self-dealing allegations raised by the appellant.,binding,0,,,,Armitage v Nurse [1998] Ch 241,cmm0cqleo000z04i321gtuvf1,not_found_in_corpus_registry,no,no,no_match,0.0,,,,,,,,no,yes,No standalone case-title or citation match was found in the linked retrieval or corpus registry.
cmm920v38000b04ib8ug7hazg,cmlzojkzd000204l5u8akkk6q,skeleton-args-ca2018006090-aa90566cb5f6b5de,synthetic,gpt-4o-mini,2026-03-02 10:46:56.609,2,Spread Trustee Co Ltd v Hutcheson [2011] UKPC 13,spread trustee co ltd v hutcheson 2011 ukpc 13,case_law,,Standard of care and prudence expected of trustees in investment decisions.,This applies to the claims regarding improper management and distribution of trust assets.,binding,0,,,,Spread Trustee Co Ltd v Hutcheson [2011] UKPC 13,cmm0cqleo000z04i321gtuvf1,not_found_in_corpus_registry,no,no,no_match,0.0,,,,,,,,no,yes,No standalone case-title or citation match was found in the linked retrieval or corpus registry.
cmm927sxp000304jp8fpwf2ew,cmlzojkzd000204l5u8akkk6q,skeleton-args-ca2018006090-aa90566cb5f6b5de,synthetic,gpt-4o-mini,2026-03-02 10:52:20.408,1,Armitage v Nurse [1998] Ch 241,armitage v nurse 1998 ch 241,case_law,,Trustees must administrate with reasonable skill and care when handling beneficiary interests.,Applies to claims regarding self-dealing and investment decisions.,binding,0,,,,Armitage v Nurse [1998] Ch 241,cmm0cqleo000z04i321gtuvf1,not_found_in_corpus_registry,no,no,no_match,0.0,,,,,,,,no,yes,No standalone case-title or citation match was found in the linked retrieval or corpus registry.
cmm927sxp000304jp8fpwf2ew,cmlzojkzd000204l5u8akkk6q,skeleton-args-ca2018006090-aa90566cb5f6b5de,synthetic,gpt-4o-mini,2026-03-02 10:52:20.408,2,Flannery v Halifax Estate Agencies Ltd [2000] 1 WLR 377,flannery v halifax estate agencies ltd 2000 1 wlr 377,case_law,,Adequate reasons must be provided for decisions affecting parties.,Necessary for the respondent to justify actions taken in trust administration.,binding,0,,,,Flannery v Halifax Estate Agencies Ltd [2000] 1 WLR 377,cmm0cqleo000z04i321gtuvf1,not_found_in_corpus_registry,no,no,no_match,0.0,,,,,,,,no,yes,No standalone case-title or citation match was found in the linked retrieval or corpus registry.
cmm93eoww000904l4jttzk880,cmm91vpkv000204ibt9h7gspj,skeleton-args-ca2019004792-59f1ed0831f20944,synthetic,gpt-4o-mini,2026-03-02 11:25:41.405,1,[2002] EWCA Civ 605,2002 ewca civ 605,case_law,,Adequacy of reasons in judgments is vital for transparency in judicial decisions.,The respondent’s failure to provide sufficient justification for the clinical action taken.,persuasive,0,,,,English v Emery Reimbold & Strick Ltd [2002] EWCA Civ 605,cmm93cs0n000304l46op6ul80,in_corpus_not_retrieved,no,yes,exact_case_name,1.0,,,,,f11564b3-860c-4adc-bd7a-d530ce37ea95,English v Emery Reimbold & Strick Ltd,,no,yes,The citation matches a corpus case but not the retrieval linked to this judgment.
cmm93eoww000904l4jttzk880,cmm91vpkv000204ibt9h7gspj,skeleton-args-ca2019004792-59f1ed0831f20944,synthetic,gpt-4o-mini,2026-03-02 11:25:41.405,2,[2000] 1 WLR 377,2000 1 wlr 377,case_law,,"A duty to give reasons for judicial determinations and actions taken, especially critical in clinical negligence cases.",Requirement for the Respondent to articulate clinical reasoning for not performing the MRI during consultations.,persuasive,0,,,,Flannery v Halifax Estate Agencies Ltd [2000] 1 WLR 377,cmm93cs0n000304l46op6ul80,not_found_in_corpus_registry,no,no,no_match,0.0,,,,,,,,no,yes,No standalone case-title or citation match was found in the linked retrieval or corpus registry.
cmm93eoww000904l4jttzk880,cmm91vpkv000204ibt9h7gspj,skeleton-args-ca2019004792-59f1ed0831f20944,synthetic,gpt-4o-mini,2026-03-02 11:25:41.405,3,[2015] UKSC 11,2015 uksc 11,case_law,,The principles in Montgomery govern the standard of care owed by healthcare professionals.,These principles apply to evaluate the Respondent's duty to inform and investigate the symptoms adequately.,binding,0,,,,[2015] UKSC 11,cmm93cs0n000304l46op6ul80,not_found_in_corpus_registry,no,no,no_match,0.0,,,,,,,,no,yes,No standalone case-title or citation match was found in the linked retrieval or corpus registry.
cmmafut12000904l4kjskwky4,cmm3awy72000404jtfbucs83q,skeleton-args-ca2025000412-e17d5e10793fe216,synthetic,gpt-4o-mini,2026-03-03 10:01:54.804,1,English v Emery Reimbold & Strick Ltd [2002] EWCA Civ 605,english v emery reimbold strick ltd 2002 ewca civ 605,case_law,,Adequacy of reasons in judgments is essential for compliance with legal obligations.,This principle applies to the need for thorough reasoning when making decisions that affect individual rights.,binding,0,,,,English v Emery Reimbold & Strick Ltd [2002] EWCA Civ 605,cmmafsf07000304l4huaorple,in_corpus_not_retrieved,no,yes,exact_case_name,1.0,,,,,f11564b3-860c-4adc-bd7a-d530ce37ea95,English v Emery Reimbold & Strick Ltd,,no,yes,The citation matches a corpus case but not the retrieval linked to this judgment.
cmmc2zaji000h04l23a3cp61p,cmlzon435000504jsyulxanb5,skeleton-args-ca2022002088-9a827e5fc9cfa270,synthetic,gpt-4o-mini,2026-03-04 13:37:01.468,1,English v Emery Reimbold & Strick Ltd [2002] EWCA Civ 605,english v emery reimbold strick ltd 2002 ewca civ 605,case_law,[45],Adequacy of reasons in judgments,Clarity in statutory interpretations affecting asset classifications in taxation.,binding,0,,,,English v Emery Reimbold & Strick Ltd [2002] EWCA Civ 605,cmmc2vi4u000b04l2jn766kai,in_corpus_not_retrieved,no,yes,exact_case_name,1.0,,,,,f11564b3-860c-4adc-bd7a-d530ce37ea95,English v Emery Reimbold & Strick Ltd,,no,yes,The citation matches a corpus case but not the retrieval linked to this judgment.
cmmc2zaji000h04l23a3cp61p,cmlzon435000504jsyulxanb5,skeleton-args-ca2022002088-9a827e5fc9cfa270,synthetic,gpt-4o-mini,2026-03-04 13:37:01.468,2,Flannery v Halifax Estate Agencies Ltd [2000] 1 WLR 377,flannery v halifax estate agencies ltd 2000 1 wlr 377,case_law,[48],Duty to give reasons,Requires that asset classification and its implications for tax be presented with rigorous clarity and justification; critical for upcoming judicial determinations.,binding,0,,,,Flannery v Halifax Estate Agencies Ltd [2000] 1 WLR 377,cmmc2vi4u000b04l2jn766kai,not_found_in_corpus_registry,no,no,no_match,0.0,,,,,,,,no,yes,No standalone case-title or citation match was found in the linked retrieval or corpus registry.
cmmc4a8zu000h04jx2w3r0hzo,cmmc45761000204jx6bd5kxqk,ca-2024-000255-ellis-v-ssj-appellant-skeleton,real,gpt-4o-mini,2026-03-04 14:13:32.296,1,R (Johnson) v SSHD,r johnson v sshd,case_law,,Threshold for breach of rights requires evaluation of proportionality against security concerns in prison settings.,Evaluated the balance of rights against institutional security measures.,binding,0,,,,R (Johnson) v SSHD,cmmc48b4h000b04jxrxrp3idf,not_found_in_corpus_registry,no,no,no_match,0.0,,,,,,,,no,yes,No standalone case-title or citation match was found in the linked retrieval or corpus registry.
cmmc4a8zu000h04jx2w3r0hzo,cmmc45761000204jx6bd5kxqk,ca-2024-000255-ellis-v-ssj-appellant-skeleton,real,gpt-4o-mini,2026-03-04 14:13:32.296,2,Flannery v Halifax Estate Agencies Ltd,flannery v halifax estate agencies ltd,case_law,,Duty to provide reasons must be adequately respected even in administrative settings.,Informs the need for transparency in administrative decisions affecting rights.,binding,0,,,,Flannery v Halifax Estate Agencies Ltd,cmmc48b4h000b04jxrxrp3idf,not_found_in_corpus_registry,no,no,no_match,0.0,,,,,,,,no,yes,No standalone case-title or citation match was found in the linked retrieval or corpus registry.
cmmcal70d000h04k3e11w997v,cmmcafz4s000204k31uew4nq3,ew-cases-EWCA-Civ-2024-1110,real,gpt-4o-mini,2026-03-04 17:10:00.635,1,[2002] EWCA Civ 605,2002 ewca civ 605,case_law,,Adequacy of reasons must be given in judgments to ensure fairness and transparency.,The standards from this case will inform how detailed the tribunal’s reasoning should have been regarding catastrophe classifications.,binding,0,,,,English v Emery Reimbold & Strick Ltd [2002] EWCA Civ 605,cmmcaho67000b04k3d50f98in,in_corpus_not_retrieved,no,yes,exact_case_name,1.0,,,,,f11564b3-860c-4adc-bd7a-d530ce37ea95,English v Emery Reimbold & Strick Ltd,,no,yes,The citation matches a corpus case but not the retrieval linked to this judgment.
cmmcal70d000h04k3e11w997v,cmmcafz4s000204k31uew4nq3,ew-cases-EWCA-Civ-2024-1110,real,gpt-4o-mini,2026-03-04 17:10:00.635,2,[2000] 1 WLR 377,2000 1 wlr 377,case_law,,Parties to an agreement must understand the relevant legal concepts and their implications in the context of claims.,"This precedent reinforces the standards expected for clear interpretations of insurance agreements, particularly concerning coverage exclusions and inclusions.",binding,0,,,,Flannery v Halifax Estate Agencies Ltd [2000] 1 WLR 377,cmmcaho67000b04k3d50f98in,not_found_in_corpus_registry,no,no,no_match,0.0,,,,,,,,no,yes,No standalone case-title or citation match was found in the linked retrieval or corpus registry.
cmmdjqxh3000304kvs37yorn3,cmmdjkfi7000204jsunevvuvv,skeleton-args-ca2023004634-299a4a730fe1f43a,synthetic,gpt-4o-mini,2026-03-05 14:14:10.93,1,English v Emery Reimbold & Strick Ltd [2002] EWCA Civ 605,english v emery reimbold strick ltd 2002 ewca civ 605,case_law,,Adequacy of reasons in judgments,Requires detailed reasoning in judicial decisions especially in forfeiture cases.,binding,0,,,,English v Emery Reimbold & Strick Ltd [2002] EWCA Civ 605,cmmdjmbqo000b04js13axm03c,in_corpus_not_retrieved,no,yes,exact_case_name,1.0,,,,,f11564b3-860c-4adc-bd7a-d530ce37ea95,English v Emery Reimbold & Strick Ltd,,no,yes,The citation matches a corpus case but not the retrieval linked to this judgment.
cmmdjqxh3000304kvs37yorn3,cmmdjkfi7000204jsunevvuvv,skeleton-args-ca2023004634-299a4a730fe1f43a,synthetic,gpt-4o-mini,2026-03-05 14:14:10.93,2,Flannery v Halifax Estate Agencies Ltd [2000] 1 WLR 377,flannery v halifax estate agencies ltd 2000 1 wlr 377,case_law,,Duty to give reasons,Court must provide explicit reasoning for its decisions involving property rights.,binding,0,,,,Flannery v Halifax Estate Agencies Ltd [2000] 1 WLR 377,cmmdjmbqo000b04js13axm03c,not_found_in_corpus_registry,no,no,no_match,0.0,,,,,,,,no,yes,No standalone case-title or citation match was found in the linked retrieval or corpus registry.
cmmdkjytd000304jl24cdxqvp,cmmdjkfi7000204jsunevvuvv,skeleton-args-ca2023004634-299a4a730fe1f43a,synthetic,gpt-4o-mini,2026-03-05 14:36:45.694,1,English v Emery Reimbold & Strick Ltd [2002] EWCA Civ 605,english v emery reimbold strick ltd 2002 ewca civ 605,case_law,,A decision requires a clear reasoning process showcasing why conclusions were reached.,The necessity for comprehensive reasons for judicial conclusions supports claims in landlord-tenant disputes regarding possession.,binding,0,,,,English v Emery Reimbold & Strick Ltd [2002] EWCA Civ 605,cmmdjmbqo000b04js13axm03c,in_corpus_not_retrieved,no,yes,exact_case_name,1.0,,,,,f11564b3-860c-4adc-bd7a-d530ce37ea95,English v Emery Reimbold & Strick Ltd,,no,yes,The citation matches a corpus case but not the retrieval linked to this judgment.
cmmdkjytd000304jl24cdxqvp,cmmdjkfi7000204jsunevvuvv,skeleton-args-ca2023004634-299a4a730fe1f43a,synthetic,gpt-4o-mini,2026-03-05 14:36:45.694,2,Flannery v Halifax Estate Agencies Ltd [2000] 1 WLR 377,flannery v halifax estate agencies ltd 2000 1 wlr 377,case_law,,Parties must receive clarity on judicial reasons to understand the basis for decisions.,Ensures that parties to tenancy agreements can discern from rulings how particular facts led to determinations on breaches.,binding,0,,,,Flannery v Halifax Estate Agencies Ltd [2000] 1 WLR 377,cmmdjmbqo000b04js13axm03c,not_found_in_corpus_registry,no,no,no_match,0.0,,,,,,,,no,yes,No standalone case-title or citation match was found in the linked retrieval or corpus registry.
cmmdkjytd000304jl24cdxqvp,cmmdjkfi7000204jsunevvuvv,skeleton-args-ca2023004634-299a4a730fe1f43a,synthetic,gpt-4o-mini,2026-03-05 14:36:45.694,3,"Senior Courts Act 1981, s.35A",senior courts act 1981 s 35a,legislation_or_rule,,This section provides legal authority for interest to be applied in cases of debt recovery.,Applicable in claims for arrears and damages arising from breach of lease contracts.,binding,0,,,,"Senior Courts Act 1981, s.35A",cmmdjmbqo000b04js13axm03c,not_applicable_non_case_reference,no,no,no_match,0.0,,,,,,,,no,no,Legislation or procedural rule; not tested as a case citation.
